Date,Station,Duty Window Number,Rank,Fleet,Season,IrOps,Month,Month Number,Weekday,Weekday Number,Duty Window,Pairing Start Count,Multi-Day Pairing Count,INT Pairing Count,Standby Activation Count,Multi-Day Pairing Ratio,INT Pairing Ratio,Activation Rate
09-04-2025,DEL,5,FO,Airbus,0,0,April,4,Wednesday,2,16-20,46,7,2,9,0.1522,0.0435,0.1957
09-04-2025,DEL,6,CP,Airbus,0,0,April,4,Wednesday,2,20-24,31,15,11,3,0.4839,0.3548,0.0968
09-04-2025,DEL,6,FO,Airbus,0,0,April,4,Wednesday,2,20-24,23,7,10,6,0.3043,0.4348,0.2609
10-04-2025,DEL,1,CP,Airbus,0,0,April,4,Thursday,3,0-4,4,1,0,0,0.25,0,0
10-04-2025,DEL,1,FO,Airbus,0,0,April,4,Thursday,3,0-4,6,1,0,0,0.1667,0,0
10-04-2025,DEL,2,CP,Airbus,0,0,April,4,Thursday,3,04-Aug,47,13,4,7,0.2766,0.0851,0.1489
10-04-2025,DEL,2,FO,Airbus,0,0,April,4,Thursday,3,04-Aug,47,12,3,12,0.2553,0.0638,0.2553
10-04-2025,DEL,3,CP,Airbus,0,0,April,4,Thursday,3,08-Dec,38,9,5,5,0.2368,0.1316,0.1316
10-04-2025,DEL,3,FO,Airbus,0,0,April,4,Thursday,3,08-Dec,36,6,4,5,0.1667,0.1111,0.1389
10-04-2025,DEL,4,CP,Airbus,0,0,April,4,Thursday,3,Dec-16,32,7,2,5,0.2188,0.0625,0.1562
10-04-2025,DEL,4,FO,Airbus,0,0,April,4,Thursday,3,Dec-16,36,5,4,10,0.1389,0.1111,0.2778
10-04-2025,DEL,5,CP,Airbus,0,0,April,4,Thursday,3,16-20,55,9,2,6,0.1636,0.0364,0.1091
10-04-2025,DEL,5,FO,Airbus,0,0,April,4,Thursday,3,16-20,45,3,1,8,0.0667,0.0222,0.1778
10-04-2025,DEL,6,CP,Airbus,0,0,April,4,Thursday,3,20-24,30,17,14,1,0.5667,0.4667,0.0333
10-04-2025,DEL,6,FO,Airbus,0,0,April,4,Thursday,3,20-24,25,13,12,0,0.52,0.48,0
11-04-2025,DEL,1,CP,Airbus,0,0,April,4,Friday,4,0-4,6,1,0,0,0.1667,0,0
11-04-2025,DEL,1,FO,Airbus,0,0,April,4,Friday,4,0-4,6,0,0,2,0,0,0.3333
11-04-2025,DEL,2,CP,Airbus,0,0,April,4,Friday,4,04-Aug,49,14,5,6,0.2857,0.102,0.1224
11-04-2025,DEL,2,FO,Airbus,0,0,April,4,Friday,4,04-Aug,47,11,3,4,0.234,0.0638,0.0851
11-04-2025,DEL,3,CP,Airbus,0,0,April,4,Friday,4,08-Dec,44,8,5,10,0.1818,0.1136,0.2273
11-04-2025,DEL,3,FO,Airbus,0,0,April,4,Friday,4,08-Dec,37,5,4,2,0.1351,0.1081,0.0541
11-04-2025,DEL,4,CP,Airbus,0,0,April,4,Friday,4,Dec-16,41,9,2,6,0.2195,0.0488,0.1463
11-04-2025,DEL,4,FO,Airbus,0,0,April,4,Friday,4,Dec-16,46,9,3,11,0.1957,0.0652,0.2391
